thread_id,full_thread_text,n_turns,gold_intent,gold_escalate,gold_reason,gold_reply_notes
1922777,"[Customer]: @AmazonHelp Hi.I have my account locked for security proposes. I followed email instructions, but still my account is locked. Can u help me?
[AmazonHelp]: @572396 Sorry to hear about your account! How long has it been since you've replied to the email? ^TR
[Customer]: @AmazonHelp Two weeks. The mail said ""allow 5 to 7 business"".",3,account_access,escalate,Account security lockout or compromised credentials require verification and unlock by human security specialist.,Empathize with lockout frustration; never ask for credentials publicly; request verified account identifier via secure DM and escalate to Account Specialist.
2673433,"[Customer]: @115850 Appreciate delivery tracking system, but horrible delivery team. W/o contacting me sending regret msg. Tracking #
511366891466
[AmazonHelp]: @752643 I'm sorry about the delivery. Please report this to our support team here: https://t.co/vlvfJr4nN9. ^HA
[Customer]: @AmazonHelp Thanks. I hv reported and discussed with CC exec. He promised me to resolve issue in next 2 hrs. Let’s see
[AmazonHelp]: @752643 That's great news. Keep us posted about the proceedings. ^HA
[Customer]: @AmazonHelp No call as committed!!!! It’s more than 3.30hrs now..
[AmazonHelp]: @752643 Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. 2/2 ^HD
[Customer]: @AmazonHelp Since I’m doing it from my mobile , not able to copy URL to twitter
[AmazonHelp]: @752643 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.2/2 ^PJ",8,delivery_delay,escalate,"Persistent delivery failure, broken callback promise, or marked-as-delivered missing package requiring carrier investigation.",Acknowledge missed delivery timeline; request tracking and delivery postcode via secure DM; open carrier escalation ticket for lost-in-transit package.
264393,"[Customer]: @115850 @40827 delivered defective product on orderid 4__credit_card__ ,ordrd replacement, but bluedirt not picking up my return and also not recieving calls.. Pathetic replacement service by amazon
[AmazonHelp]: @179002 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.2/2^AR",2,order_product_problem,escalate,"Physical defect replacement failure, courier pickup breakdown, or high-value damage requiring human logistics intervention.",Apologize sincerely for damaged/defective product; confirm no return shipping fee; initiate courier pickup re-schedule or manual replacement ticket via DM.
1910333,"[Customer]: @115821 I cannot sign in my kindle since today! Was there an update??
[AmazonHelp]: @569101 Sorry for the trouble with your Kindle account! Are you able to log into your amazon account here: https://t.co/Y5jpI9gRhE? ^SG
[Customer]: @AmazonHelp No, sadly i can’t. was there a security update today?
[AmazonHelp]: @569101 Since you're unable to login to the site, have you tried resetting your password? You can do so here: https://t.co/3t3JqbH9ar ^AM
[Customer]: @AmazonHelp yes, i can login through the website but on my fire 7 tablet i can’t.
[AmazonHelp]: @569101 How are you accessing the site via your tablet? Have you tried looking for updates etc? Has this just become issue? ^NV
[Customer]: @AmazonHelp Yes, it signed me out of my tablet and i cannot go back in. It is up to date.
[AmazonHelp]: @569101 We want to help! Let's clear the cache and cookies of your Silk browser. Let us know if that works: https://t.co/fdlKhOeACJ ^RM",8,account_access,escalate,Account security lockout or compromised credentials require verification and unlock by human security specialist.,Empathize with lockout frustration; never ask for credentials publicly; request verified account identifier via secure DM and escalate to Account Specialist.
2856623,"[Customer]: So many scam @115830 emails floating about at the moment 😅
[AmazonHelp]: @793983 Please be sure to report any suspicious e-mails to us here: https://t.co/q7RkKZpls3 ^CS
[Customer]: @AmazonHelp Will do!",3,scam_phishing_check,auto_handle,"Public domain safety inquiry; AI agent can immediately identify phishing patterns, advise not clicking links, and provide reporting address.",Confirm Amazon never requests passwords or payment details via SMS/email; instruct customer to forward suspicious message to stop-spoofing@amazon.com.
2607489,"[Customer]: 1/2 Wait in all day for an @115830 delivery. It turns up over an hour after delivery cut off, open it up to find it's already damaged....
[AmazonHelp]: @331171 I'm sorry your order was damaged! We'd like to help you so please reach us here: https://t.co/JzP7hlA23B ^DD",2,order_product_problem,auto_handle,Standard item return or replacement can be self-served through the online Returns Center.,Provide link to amazon.com/returns; explain prepaid drop-off options; invite DM if self-service portal presents an error.
2236189,"[Customer]: YAS @115821 coming in clutch with that release date delivery 👌🏻 #Reputation https://t.co/oXskUcyRsC
[AmazonHelp]: @652163 When our reputation is on the line, we always delivery! 😉 ^JD",2,product_info_question,auto_handle,"Factual inquiries regarding product compatibility, specs, or availability can be answered autonomously from public documentation.","Provide concise, accurate product specifications / compatibility details; link to official product detail page or FAQ."
900387,"[Customer]: Whoever @115821 contracts with in my area to do Prime Amazon Logistics deliveries is horrible. So frustrating that they're always late. https://t.co/Hlq0CyTGkl
[AmazonHelp]: @333742 I'm sorry you haven't received your order! Please relay details to us so we can look into this: https://t.co/fafKjFzaR1 ^MV",2,delivery_delay,auto_handle,Standard package in-transit status check can be answered with live tracking link and estimated dispatch window.,Provide link to Track Package page; clarify carrier delivery window up to 8 PM; instruct to reach out if not received by end of day.
401628,"[Customer]: @AmazonHelp Tried multiple time to reset password, says code has been sent to my email to verify its me. But it is never there. Please help!
[AmazonHelp]: @210974 Oh no! I'm sorry for the trouble with the password. Have you tried checking junk and spam folders as well? Let us know! ^TG
[Customer]: @AmazonHelp Yes, nothing is there. I've been trying since Saturday to reset it. Can I message you my email and try to have it done manually?
[AmazonHelp]: @210974 I'm sorry for the trouble, Ken. Please reach out to us here so we can take a look in real-time: https://t.co/hApLpMlfHN ^FD
[Customer]: @AmazonHelp It's making me sign in to contact you... and this is a problem since I can't sign in or get the reset code.
[AmazonHelp]: @210974 I'm sorry! Please use this link instead: https://t.co/jzvkhdlrK5 ^TR",6,account_access,auto_handle,Standard password reset or device registration guidance can be autonomously provided via self-service recovery links.,Provide direct official link to amazon.com/help/account-recovery and suggest clearing app cache or rebooting device.
393546,"[Customer]: Hey @AmazonHelp I got an email my email address had been changed but it’s not one I own so I think I’ve been hacked, pls help ASAP!!
[AmazonHelp]: @209211 Hi Leanne. I'm sorry to hear about the account trouble! Have you tried to log into your account to see if it works? ^HC
[Customer]: @AmazonHelp yes and it says my account does not exist.  When I log out the new persons email address shows up...
[AmazonHelp]: @209211 Please contact us here: https://t.co/jzvkhdlrK5 via phone or e-mail so we can look at this together! Keep us updated! ^KN
[Customer]: @AmazonHelp I’ve contacted 3x &amp; I was told I’d get an email within 24 hours. Still nothing &amp; I’m concerned about your security protection...
[AmazonHelp]: @209211 When did you reach out to us? Normally our Account Specialists will reach out via e-mail within 2 days to verify your info.^EP
[Customer]: @AmazonHelp on Monday and Thursday and got no email or anything to my spam either time
[AmazonHelp]: @209211 We'd like to investigate this for you. When you have a moment, please send us your info here: https://t.co/sqfL6IIU2p ^JA
[Customer]: @AmazonHelp I can’t send my info that way because I can’t get into my account, I’ve tried resetting the password too
[AmazonHelp]: @209211 You can skip sign in just below the sign in option on that page. Click the hyper link ""Skip sign in"". ^ST
[Customer]: @AmazonHelp ok I submitted that.  Hope to hear soon then because I keep be told to do different things
[AmazonHelp]: @209211 I appreciate your continued patience. We'll be in touch shortly! ^ST",12,account_access,escalate,Account security lockout or compromised credentials require verification and unlock by human security specialist.,Empathize with lockout frustration; never ask for credentials publicly; request verified account identifier via secure DM and escalate to Account Specialist.
