thread_id,first_message,llm_assigned_intent,human_label
510288,Would you look at that? Xenoblade 2 never showed up. Why am I paying for @115821 Prime again?,delivery_delay,delivery_delay
1655077,"@115850 Hi, do you accept #sodexo on COD for food items? Although I pay online, bt just curious to know it, would be icing on cake",product_info_question,product_info_question
946575,@115821 prime how come you take money for prime on time but you can’t deliver my packages in two days as you claim,delivery_delay,delivery_delay
2862015,Yo! @115821 is TRASH! For like the 10th time I track my package it says “Delivered”.  And it’s nowhere to be found. Not to mention I paid for “same day shipping” on Saturday. It’s MONDAY! 😫,delivery_delay,delivery_delay
2948136,..@AmazonHelp the e-mail that I have just received in response to my latest enquiry is exactly the same e-mail i received on the 27/11 in which i was informed two wait two more days for my parcel.... Still no idea what is going on!!,delivery_delay,delivery_delay
2786261,Hi @AmazonHelp @115830 would someone be able to help with a delivery issue regarding my order please?,delivery_delay,delivery_delay
283990,"@115850 @AmazonHelp wrong info of AmzAgent provided. Was told ""he will come"" I said why was I given wrong no., he simply hung up!",service_complaint_vague,service_complaint_vague
2881919,Fake @115821 its 3 months n more stily my account is on hold 5000₹ in @115823  pls don't use @115823 for any transaction they can out your account on hold,scam_phishing_check,account_access
515328,When you open a delivery from @115821 delivered by #AmzlUS and it wreaks of weed. 😳,order_product_problem,order_product_problem
223853,Description on every Echo page on @115850 mention Prime Music. Don’t think it is available in India yet. Or is it? No reference elsewhere.,product_info_question,product_info_question
167863,Aboustly appalling customer service from @115830 not impressed,service_complaint_vague,service_complaint_vague
2004831,"@115850 fooling customers with no cost emi option. It's a trap don't buy anything from amazon on emi. Not even bothering to help its customers.
#thegreatlooyingfestivatofamazon.",service_complaint_vague,billing_dispute
2205285,@115821 @AmazonHelp - jeeze guys chill out 😂 this poor box https://t.co/UHoFLCsnhD,non_support,order_product_problem
795762,Hi @115830 how much is this book? Is that with or without VAT? https://t.co/3gZe8yspgo,product_info_question,product_info_question
318619,Approaching law enforcement agencies as misleading  status evasive response from @120169.@15704 @AmazonHelp .Aramex shipment 1760858890,delivery_delay,delivery_delay
2549513,@115850 guys.... U all r cheater.. paid 62k against 24karat gold coin of 20gm. Received only gaurantee card. empty box . What the hell? 👿👿,order_product_problem,order_product_problem
2540367,"@1404 @AmazonHelp @115850 A GENUINE COMPANY ONCE  IS SURE THAT  PRODUCT IS FAKE, WLD HV ASKD  ITS SUPLIERS TO REPLACE IT IMEDIATELY &amp; WOULD HAV SUSPENDED HIM. HOWEVER.  AMAZON INSTEAD HARASSES ITS CUSTOMERS THEREBY SUPPORTING.  ITS FRAUD SUPPLIERS AS IT IS INVOLVED IN IT",order_product_problem,order_product_problem
2116171,I hope you can help me @129773 - I have a brand new JVC TV and I want to find out if there is an app available to let me watch my Amazon Prime Video on it. Any suggestions?,product_info_question,product_info_question
